,type,size,price,rooms,baths
59,Chalet,114,370.000,3 ,2 
60,Casa,323,598.000,8 ,4 
61,Casa,332,525.000,4 ,3 
62,Casa,334,479.500,5 ,3 
63,ARBREDA,100,297.000,0,0
64,Casa,122,210.000,3 ,2 
65,Casa,144,378.000,3 ,3 
66,Dúplex,113,333.940,3 ,3 
67,Casa,270,179.000,4 ,3 
68,Casa,125,359.000,5 ,2 
69,Casa,200,290.000,3 ,1 
70,Chalet,197,600.000,4 ,2 
71,Piso,91,269.500,3 ,2 
72,Piso,122,270.000,4 ,2 
73,Planta,100,297.000,3 ,2 
74,Casa,130,345.000,3 ,2 
75,Casa,231,179.000,6 ,1 
76,Chalet,190,315.000,3 ,2 
77,Casa,550,575.000,4 ,2 
78,Casa,216,498.000,3 ,3 
79,CASA,142,440.000,0,0
80,Planta,91,235.000,3 ,2 
81,Casa,120,300.000,2 ,2 
82,Casa,309,473.000,5 ,3 
83,Chalet,273,490.000,4 ,3 
84,Casa,554,690.000,7 ,7 
85,Casa,317,598.000,4 ,4 
86,Casa,270,345.000,5 ,2 
87,Casa,203,379.000,3 ,3 
88,Casa,244,398.000,4 ,3 
89,Piso,122,270.000,4 ,2 
90,Casa,240,475.000,5 ,4 
91,Casa,195,329.000,3 ,2 
92,Casa,125,425.000,4 ,2 
93,Casa,195,329.000,3 ,2 
94,Casa,88,339.000,3 ,1 
95,BAJOS,,,0,0
96,Casa,400,569.000,5 ,3 
97,Casa,125,349.000,5 ,2 
98,Casa,261,389.000,4 ,3 
99,Chalet,290,460.000,4 ,4 
100,Planta,90,249.900,2 ,1 
101,Piso,122,270.000,4 ,2 
102,Dúplex,184,320.000,4 ,2 
103,Chalet,190,315.000,3 ,2 
104,Piso,122,270.000,4 ,2 
105,Piso,122,270.000,4 ,2 
106,Piso,122,270.000,4 ,2 
107,Casa,197,566.500,4 ,3 
108,Casa,898,6.950.000,4 ,3 
109,Ático,128,350.000,4 ,2 
110,Casa,374,680.000,3 ,3 
111,ARBREDA,100,297.000,0,0
112,Dúplex,260,275.000,6 ,3 
113,Casa,330,468.000,5 ,3 
114,Piso,152,295.000,3 ,1 
115,Piso,95,233.000,4 ,2 
116,Casa,233,389.000,5 ,3 
117,Chalet,317,625.000,7 ,4 
118,Dúplex,216,239.000,4 ,2 
119,Casa,317,598.000,4 ,4 
120,Piso,122,270.000,4 ,2 
121,Planta,98,245.000,3 ,2 
122,Chalet,189,315.000,3 ,2 
123,Dúplex,155,219.900,3 ,2 
124,Piso,90,219.000,3 ,1 
125,Piso,858,739.000,4 ,4 
126,Casa,302,498.000,3 ,3 
127,CASA,142,440.000,0,0
128,Casa,270,197.500,4 ,4 
129,Casa,176,425.000,3 ,3 
130,Piso,122,270.000,4 ,2 
131,Piso,70,134.900,3 ,1 
132,Casa,218,449.000,4 ,3 
133,Casa,956,990.000,7 ,6 
134,Casa,208,359.000,5 ,3 
135,Piso,70,159.900,3 ,1 
136,Casa,195,329.000,3 ,2 
137,Casa,195,329.000,3 ,2 
138,Casa,195,329.000,3 ,2 
139,Casa,195,329.000,3 ,2 
140,Casa,195,329.000,3 ,2 
141,Chalet,190,315.000,3 ,2 
142,Casa,195,329.000,3 ,2 
143,BAJOS,,,0,0
144,Casa,195,329.000,3 ,2 
145,Casa,858,739.000,4 ,4 
146,Piso,113,262.000,3 ,2 
147,Casa,218,499.000,6 ,4 
148,Casa,706,739.000,4 ,4 
149,Chalet,204,390.000,4 ,2 
150,Casa,913,799.000,4 ,4 
151,Chalet,513,475.000,6 ,4 
152,Casa,313,538.265,4 ,3 
153,Casa,317,625.000,7 ,4 
154,Casa,355,650.000,8 ,4 
155,Piso,125,255.000,3 ,2 
156,Chalet,374,518.000,5 ,3 
157,Casa,195,329.000,3 ,2 
158,Casa,248,594.500,5 ,4 
159,ARBREDA,100,297.000,0,0
160,Chalet,246,437.000,4 ,4 
161,Piso,89,149.900,3 ,1 
162,Chalet,273,490.000,4 ,3 
163,Chalet,233,475.000,3 ,2 
164,Casa,250,398.000,4 ,2 
165,Piso,54,144.900,1 ,1 
166,Piso,101,270.000,4 ,2 
167,Piso,70,134.900,3 ,1 
168,Piso,87,199.000,4 ,2 
169,Chalet,244,398.000,4 ,3 
170,Casa,252,325.000,5 ,2 
171,Masía,100,6.950.000,4 ,3 
172,Casa,153,239.000,3 ,1 
173,Piso,120,172.000,1 ,1 
174,Chalet,190,315.000,3 ,2 
175,CASA,142,440.000,0,0
176,Piso,89,206.000,3 ,1 
177,Piso,90,178.000,3 ,1 
178,Casa,167,398.000,4 ,2 
179,Casa,140,199.500,5 ,2 
180,Casa,460,555.000,4 ,2 
181,Casa,490,680.000,3 ,3 
182,Casa,266,450.000,4 ,3 
183,Casa,266,450.000,4 ,3 
184,Casa,170,425.000,4 ,2 
185,Casa,898,6.950.000,4 ,3 
186,Casa,260,549.000,6 ,3 
187,Casa,269,452.000,3 ,2 
188,Casa,200,290.000,3 ,1 
189,Casa,213,339.000,3 ,2 
190,Casa,857,739.000,4 ,4 
191,BAJOS,,,0,0
192,Casa,298,495.000,3 ,3 
193,Casa,233,389.000,5 ,3 
194,Casa,330,477.000,5 ,3 
195,Casa,247,1.470.000,4 ,3 
196,Piso,86,180.000,3 ,2 
197,Dúplex,101,280.000,4 ,3 
198,Casa,203,379.000,4 ,3 
199,Casa,225,450.000,4 ,2 
200,Casa,153,239.000,3 ,1 
201,Casa,218,499.000,6 ,4 
202,Casa,200,290.000,3 ,1 
203,Casa,125,349.000,5 ,2 
204,Casa,125,349.000,5 ,2 
205,Dúplex,189,239.000,4 ,2 
206,Dúplex,189,239.000,4 ,2 
207,ARBREDA,100,297.000,0,0
208,Dúplex,189,239.000,4 ,2 
209,Casa,258,474.000,4 ,3 
210,Casa,125,349.000,5 ,2 
211,Casa,125,349.000,5 ,2 
212,Casa,286,534.700,3 ,3 
213,Chalet,317,598.000,7 ,4 
214,Casa,240,259.950,5 ,3 
215,Casa,227,306.000,5 ,3 
216,Casa,153,249.000,3 ,1 
217,Casa,194,230.000,5 ,2 
218,Casa,157,349.000,5 ,2 
219,Casa,214,290.000,4 ,2 
220,Casa,382,569.000,5 ,4 
221,Casa,95,248.500,4 ,2 
222,Chalet,290,460.000,4 ,4 
223,CASA,142,440.000,0,0
224,Chalet,290,460.000,4 ,4 
225,Casa,97,249.000,3 ,3 
226,Casa,217,498.000,3 ,3 
227,Casa,119,265.000,3 ,1 
228,Casa,136,330.000,4 ,2 
229,Chalet,317,598.000,4 ,4 
230,Casa,190,315.000,3 ,2 
231,Piso,122,270.000,4 ,2 
232,Casa,212,480.000,4 ,3 
233,Casa,355,598.000,8 ,4 
234,Chalet,190,315.000,3 ,2 
235,Chalet,190,315.000,3 ,2 
236,Casa,361,850.000,6 ,3 
237,Casa,150,425.000,4 ,2 
238,Chalet,158,286.000,5 ,3 
239,BAJOS,,,0,0
240,Piso,120,218.000,3 ,1 
241,Casa,490,680.000,3 ,3 
242,Casa,374,680.000,3 ,3 
243,Casa,261,470.000,4 ,3 
244,Ático,94,350.000,4 ,2 
245,Casa,217,389.000,5 ,3 
246,Casa,250,440.000,4 ,3 
247,Chalet,239,449.500,4 ,2 
248,Casa,361,425.000,5 ,3 
249,Casa,266,450.000,4 ,3 
250,Casa,374,680.000,3 ,3 
251,Casa,125,425.000,4 ,2 
252,Casa,513,475.000,5 ,4 
253,Casa,443,694.000,6 ,3 
254,Casa,490,680.000,3 ,3 
255,ARBREDA,100,297.000,0,0
256,Piso,91,235.000,3 ,2 
257,Chalet,240,445.000,4 ,3 
258,Casa,203,374.000,3 ,3 
259,Casa,195,329.000,3 ,2 
260,Casa,266,450.000,4 ,3 
261,Casa,400,650.000,4 ,5 
262,Casa,266,450.000,4 ,3 
263,Casa,125,425.000,4 ,2 
264,Casa,150,425.000,4 ,2 
265,Casa,150,425.000,4 ,2 
266,Casa,170,425.000,4 ,2 
267,Casa,298,495.000,3 ,3 
268,Casa,266,450.000,4 ,3 
269,Dúplex,150,369.000,4 ,2 
270,Casa,125,425.000,4 ,2 
271,CASA,142,440.000,0,0
272,Casa,125,425.000,4 ,2 
273,Casa,125,425.000,4 ,2 
274,Dúplex,189,239.000,4 ,2 
275,Casa,125,349.000,5 ,2 
276,Chalet,300,474.900,5 ,3 
277,Casa,140,199.500,5 ,2 
278,Casa,218,499.000,6 ,3 
279,Piso,95,247.000,3 ,2 
280,Casa,221,439.000,4 ,2 
281,Planta,146,223.000,3 ,2 
282,Masía,898,6.950.000,4 ,3 
283,Casa,178,231.000,6 ,1 
284,Casa,218,499.000,6 ,4 
285,Dúplex,152,295.000,2 ,1 
286,Casa,200,290.000,3 ,1 
287,BAJOS,,,0,0
288,Casa,130,349.000,3 ,1 
289,Casa,213,339.000,3 ,2 
290,Casa,213,339.000,3 ,2 
291,Casa,298,495.000,3 ,3 
292,Casa,213,339.000,3 ,2 
293,Casa,250,449.000,5 ,4 
294,Casa,298,495.000,3 ,3 
295,Casa,200,290.000,3 ,1 
296,Casa,334,479.500,5 ,3 
297,Casa,213,339.000,3 ,2 
298,Casa,200,290.000,3 ,1 
299,Casa,218,499.000,6 ,4 
300,Casa,334,479.500,5 ,3 
301,Casa,218,499.000,6 ,4 
302,Casa,213,339.000,3 ,2 
303,ARBREDA,100,297.000,0,0
304,Casa,213,339.000,3 ,2 
305,Casa,218,499.000,6 ,4 
306,Casa,298,495.000,3 ,3 
307,Casa,200,290.000,3 ,1 
308,Casa,218,499.000,6 ,4 
309,Casa,213,339.000,3 ,2 
310,Casa,298,495.000,3 ,3 
311,Casa,200,290.000,3 ,1 
312,Casa,213,339.000,3 ,2 
313,Casa,334,479.500,5 ,3 
314,Casa,218,499.000,6 ,4 
315,Casa,218,499.000,6 ,4 
316,Casa,140,204.500,5 ,2 
317,Piso,89,210.000,3 ,1 
318,Masía,820,990.000,7 ,5 
319,CASA,142,440.000,0,0
320,Casa,513,475.000,4 ,3 
321,Casa,221,440.000,4 ,3 
322,Casa,233,389.500,5 ,3 
323,Casa,214,290.000,3 ,1 
324,Casa,329,387.600,6 ,3 
325,Casa,90,256.000,3 ,1 
326,Chalet,329,387.600,7 ,3 
327,Casa,252,311.000,5 ,2 
328,Casa,170,290.000,3 ,1 
329,Casa,250,495.000,3 ,2 
330,Casa,140,199.500,5 ,2 
331,Chalet,240,269.000,5 ,3 
332,Casa,239,459.000,5 ,3 
333,Casa,112,235.000,5 ,1 
334,Casa,108,249.000,3 ,1 
335,BAJOS,,,0,0
336,Casa,157,278.000,4 ,2 
337,Casa,140,199.500,5 ,2 
338,Casa,227,306.000,5 ,3 
339,Casa,125,349.000,5 ,2 
340,Casa,125,349.000,5 ,2 
341,Casa,125,349.000,5 ,2 
342,Casa,125,349.000,5 ,2 
343,Casa,125,349.000,5 ,2 
344,Casa,125,349.000,5 ,2 
345,Casa,125,349.000,5 ,2 
346,Casa,125,349.000,6 ,2 
347,Casa,280,450.000,4 ,2 
348,Casa,223,650.000,5 ,3 
349,Casa,223,648.000,5 ,3 
350,Casa,357,421.000,4 ,3 
351,ARBREDA,100,297.000,0,0
352,Casa,220,389.000,4 ,3 
353,Dúplex,189,239.000,4 ,2 
354,Casa,261,389.000,4 ,3 
355,Casa,125,425.000,4 ,2 
356,Tríplex,132,318.700,4 ,2 
357,Piso,83,159.900,3 ,1 
358,Piso,111,229.000,3 ,1 
359,Casa,222,420.000,5 ,2 
360,Piso,80,170.000,3 ,1 
361,Tríplex,134,317.900,4 ,3 
362,Casa,150,425.000,4 ,2 
363,Casa,400,850.000,6 ,3 
364,Casa,214,290.000,4 ,1 
365,Chalet,214,290.000,3 ,1 
366,Chalet,214,290.000,3 ,1 
367,CASA,142,440.000,0,0
368,Chalet,214,290.000,3 ,1 
369,Casa,490,680.000,4 ,3 
370,Casa,488,449.000,7 ,4 
371,Casa,195,329.000,3 ,1 
372,Chalet,214,290.000,3 ,1 
373,Dúplex,134,318.000,4 ,2 
374,Piso,90,250.000,4 ,2 
375,Casa,356,547.000,5 ,3 
376,Casa,125,349.000,5 ,2 
377,Casa,261,389.000,4 ,3 
378,Casa,261,399.000,4 ,3 
379,Casa,261,389.000,4 ,3 
380,Casa,261,389.000,4 ,3 
381,Casa,261,389.000,4 ,3 
382,Casa,261,389.000,4 ,3 
383,BAJOS,,,0,0
384,Chalet,273,490.000,4 ,3 
385,Casa,261,389.000,4 ,3 
386,Chalet,290,460.000,4 ,4 
387,Casa,200,290.000,3 ,1 
388,Casa,218,499.000,6 ,4 
389,Casa,213,339.000,3 ,2 
390,Casa,200,290.000,3 ,1 
391,Casa,900,990.000,6 ,6 
392,Piso,70,262.500,2 ,1 
393,Ático,73,187.500,2 ,1 
394,Casa,140,290.000,3 ,1 
395,Casa,218,499.000,6 ,3 
396,Casa,219,165.000,3 ,1 
397,Chalet,227,303.500,5 ,3 
398,Casa,628,598.000,8 ,4 
399,ARBREDA,100,297.000,0,0
400,Chalet,290,460.000,4 ,4 
401,Chalet,290,460.000,4 ,4 
402,Chalet,290,460.000,4 ,4 
403,Casa,290,460.000,4 ,4 
404,Piso,77,145.000,3 ,1 
405,Casa,281,450.000,4 ,3 
406,Piso,190,239.000,4 ,2 
407,Chalet,290,460.000,4 ,4 
408,Casa,125,349.000,5 ,2 
409,Casa,108,249.000,3 ,2 
410,Ático,138,295.000,2 ,1 
411,Piso,65,159.900,3 ,1 
412,Casa,213,339.000,3 ,2 
413,Chalet,189,315.000,3 ,2 
414,Casa,218,449.000,4 ,3 
415,CASA,142,440.000,0,0
416,Casa,125,349.000,5 ,2 
417,Chalet,250,399.900,4 ,2 
418,Chalet,214,290.000,3 ,1 
419,Chalet,317,625.000,4 ,4 
420,Piso,110,246.900,3 ,2 
421,Piso,100,321.900,4 ,2 
422,Casa,122,325.000,3 ,2 
423,Casa,190,315.000,3 ,2 
424,Casa,190,315.000,3 ,2 
425,Casa,190,315.000,3 ,2 
426,Piso,60,209.000,2 ,1 
427,Casa,189,315.000,3 ,2 
428,Casa,154,238.000,4 ,2 
429,Chalet,214,290.000,4 ,2 
430,Casa,214,290.000,3 ,1 
431,BAJOS,,,0,0
432,Casa,88,339.000,3 ,1 
433,Casa,190,315.000,3 ,2 
434,Planta,90,249.900,2 ,1 
435,Piso,111,180.000,3 ,2 
436,Piso,83,159.900,3 ,1 
437,Piso,83,159.900,3 ,1 
438,Chalet,190,315.000,3 ,2 
439,Piso,83,159.900,3 ,1 
440,Chalet,190,315.000,3 ,2 
441,Chalet,190,315.000,3 ,2 
442,Piso,83,159.900,3 ,1 
443,Chalet,190,315.000,3 ,2 
444,Piso,83,159.900,3 ,1 
445,Piso,83,159.900,3 ,1 
446,Piso,83,159.900,3 ,1 
447,ARBREDA,100,297.000,0,0
448,Piso,83,159.900,3 ,1 
449,Piso,83,159.900,3 ,1 
450,Piso,83,159.900,3 ,1 
451,Chalet,190,315.000,3 ,2 
452,Piso,83,159.900,3 ,1 
453,Chalet,190,315.000,3 ,2 
454,Chalet,190,315.000,3 ,2 
455,Piso,83,159.900,3 ,1 
456,Piso,122,270.000,4 ,2 
457,Casa,218,449.000,4 ,3 
458,Chalet,706,739.000,4 ,4 
459,Piso,137,260.000,3 ,3 
460,Piso,98,250.000,4 ,2 
461,Casa,300,850.000,7 ,4 
462,Casa,140,199.500,5 ,2 
463,CASA,142,440.000,0,0
464,Casa,130,290.000,4 ,2 
465,Casa,261,389.000,4 ,2 
466,Ático,128,350.000,4 ,2 
467,Piso,151,339.000,4 ,2 
468,Piso,95,239.900,3 ,2 
469,Casa,515,1.800.000,4 ,4 
470,Casa,190,315.000,3 ,2 
471,Chalet,201,210.000,4 ,3 
472,Ático,128,350.000,4 ,2 
473,Ático,128,350.000,4 ,2 
474,Ático,115,350.000,4 ,2 
475,Ático,128,350.000,4 ,2 
476,Ático,128,350.000,4 ,2 
477,Ático,128,350.000,4 ,2 
478,Casa,147,395.000,4 ,2 
479,BAJOS,,,0,0
480,Ático,128,350.000,4 ,2 
481,Casa,265,197.900,4 ,4 
482,Chalet,201,210.000,4 ,3 
483,Piso,89,206.000,3 ,1 
484,Piso,62,209.000,2 ,1 
485,Casa,344,237.000,4 ,1 
486,Casa,180,380.000,3 ,3 
487,Casa,355,650.000,8 ,4 
488,Planta,83,249.900,2 ,1 
489,Casa,140,199.500,5 ,2 
490,Casa,218,449.000,4 ,3 
491,Dúplex,73,175.000,4 ,1 
492,Chalet,330,387.600,7 ,3 
493,Dúplex,128,350.000,4 ,2 
494,Piso,122,257.000,4 ,2 
495,ARBREDA,100,297.000,0,0
496,Casa,280,425.000,4 ,2 
497,Chalet,290,480.000,4 ,3 
498,Piso,120,192.000,3 ,2 
499,Casa,358,500.000,5 ,2 
500,Casa,200,439.000,3 ,3 
501,Casa,180,650.000,5 ,3 
502,Tríplex,134,320.000,4 ,2 
503,Piso,122,257.000,4 ,2 
504,Dúplex,120,299.900,3 ,2 
505,Piso,122,260.000,4 ,2 
506,Piso,83,159.900,3 ,1 
507,Casa,270,340.000,9 ,6 
508,Casa,215,422.000,4 ,3 
509,Casa,477,565.000,4 ,2 
510,Planta,50,135.000,1 ,1 
511,CASA,142,440.000,0,0
512,Dúplex,111,259.000,4 ,1 
513,Piso,86,172.000,3 ,2 
514,Casa,211,379.900,4 ,3 
515,Casa,140,204.500,5 ,2 
516,Dúplex,120,239.000,4 ,2 
517,Chalet,266,425.000,4 ,3 
518,Casa,358,295.000,3 ,1 
519,Chalet,250,449.000,5 ,4 
520,Chalet,290,460.000,4 ,3 
521,Piso,89,213.000,3 ,1 
522,Chalet,290,460.000,4 ,3 
523,Planta,100,255.000,3 ,2 
524,Casa,108,299.000,3 ,2 
525,Chalet,858,799.000,4 ,4 
526,Planta,90,249.900,2 ,1 
527,BAJOS,,,0,0
528,Planta,90,249.900,2 ,1 
529,Casa,120,238.000,4 ,2 
530,Casa,203,374.000,3 ,3 
531,Casa,295,529.000,5 ,4 
532,Casa,204,389.900,4 ,2 
533,Piso,121,168.000,4 ,1 
534,Casa,286,375.000,0,0
535,Planta,90,249.900,2 ,1 
536,Planta,90,249.900,2 ,1 
537,Planta,90,249.900,2 ,1 
538,Casa,217,498.000,3 ,3 
539,Piso,73,244.000,3 ,2 
540,Piso,90,249.900,2 ,1 
541,Piso,55,215.000,3 ,1 
542,Piso,95,180.000,3 ,2 
543,ARBREDA,100,297.000,0,0
544,Casa,150,435.000,4 ,2 
545,Chalet,490,680.000,3 ,3 
546,Planta,83,249.900,2 ,1 
547,Casa,195,329.000,3 ,2 
548,Casa,117,199.000,4 ,2 
549,Piso,70,148.000,3 ,1 
550,Casa,140,199.500,5 ,2 
551,Casa,190,325.000,3 ,2 
552,Casa,490,680.000,3 ,3 
553,Piso,90,208.000,3 ,1 
554,Chalet,194,208.100,5 ,3 
555,Casa,322,550.000,4 ,3 
556,Casa,88,349.000,3 ,1 
557,Piso,62,209.000,2 ,1 
558,Piso,90,216.000,3 ,1 
559,CASA,142,440.000,0,0
560,Casa,125,349.000,5 ,2 
561,Casa,199,349.000,4 ,3 
562,Casa,218,499.000,6 ,3 
563,Casa,200,290.000,3 ,1 
564,Casa,330,495.000,5 ,3 
565,Casa,125,349.000,5 ,2 
566,Piso,89,220.000,3 ,1 
567,Casa,155,375.000,2 ,3 
568,Piso,86,188.000,3 ,2 
569,Casa,180,360.000,4 ,3 
570,Piso,77,169.000,2 ,1 
571,Planta,75,198.000,2 ,1 
572,Casa,220,470.000,4 ,3 
573,Chalet,190,315.000,3 ,2 
574,Chalet,065,1.987.000,7 ,4 
575,BAJOS,,,0,0
576,Piso,75,153.000,3 ,1 
577,Casa,446,559.000,6 ,4 
578,Casa,261,389.000,4 ,3 
579,Chalet,204,379.000,4 ,3 
580,Piso,89,211.000,3 ,1 
581,Casa,190,315.000,3 ,2 
582,Piso,83,159.900,3 ,1 
583,Chalet,358,550.000,5 ,2 
584,Piso,60,190.500,2 ,1 
585,Piso,110,190.000,3 ,1 
586,Piso,94,245.000,3 ,2 
587,Casa,205,358.900,3 ,3 
588,Piso,98,187.200,3 ,2 
589,Piso,82,240.000,3 ,2 
590,Piso,65,159.900,3 ,1 
591,ARBREDA,100,297.000,0,0
592,Casa,340,420.000,4 ,2 
593,Casa,125,290.000,5 ,2 
594,Casa,140,199.500,5 ,2 
595,Casa,446,550.000,6 ,4 
596,Casa,125,310.000,5 ,2 
597,Chalet,290,460.000,4 ,3 
598,Casa,153,239.000,3 ,1 
599,Masía,358,469.900,7 ,3 
600,Piso,70,179.000,3 ,1 
601,Piso,61,233.000,2 ,1 
602,Casa,898,6.950.000,4 ,3 
603,Piso,80,243.000,3 ,2 
604,Piso,50,185.000,2 ,1 
605,Piso,55,193.000,2 ,1 
606,Casa,240,237.000,4 ,1 
607,CASA,142,440.000,0,0
608,Piso,85,259.900,3 ,2 
609,Casa,217,498.000,3 ,3 
610,Piso,102,333.000,3 ,2 
611,Piso,90,189.000,4 ,1 
612,Loft,60,165.000,1 ,1 
613,Casa,130,330.000,4 ,2 
614,Casa,340,540.000,3 ,3 
615,Piso,100,333.000,3 ,2 
616,Piso,70,159.900,3 ,1 
617,Casa,158,345.000,5 ,2 
618,Piso,98,170.000,2 ,1 
619,Casa,140,204.500,5 ,2 
620,Casa,150,250.000,3 ,2 
621,Casa,136,213.000,3 ,2 
622,Casa,175,425.000,3 ,3 
623,BAJOS,,,0,0
624,Piso,80,243.000,0,0
625,Piso,136,213.000,3 ,2 
626,Casa,240,240.000,4 ,2 
627,Dúplex,150,310.000,3 ,3 
628,Casa,165,344.000,6 ,2 
629,Casa,242,369.000,4 ,2 
630,Casa,317,540.000,6 ,4 
631,Masía,100,990.000,6 ,6 
632,Casa,203,379.000,4 ,3 
633,Casa,355,650.000,8 ,4 
634,Piso,85,203.000,2 ,1 
635,Piso,85,203.000,2 ,1 
636,Casa,140,199.500,5 ,2 
637,Casa,140,199.500,5 ,2 
638,Tríplex,122,249.900,4 ,2 
639,ARBREDA,100,297.000,0,0
640,Ático,77,138.000,3 ,1 
641,Piso,97,172.000,4 ,1 
642,Casa,600,185.000,3 ,2 
643,Chalet,857,739.900,4 ,4 
644,Piso,122,245.000,4 ,2 
645,Piso,240,203.000,4 ,0
646,Piso,92,190.000,3 ,2 
647,Casa,290,460.000,4 ,4 
648,Piso,60,165.000,1 ,1 
649,Estudio,110,173.000,1 ,1 
650,Piso,80,195.000,2 ,1 
651,Estudio,110,176.000,1 ,1 
652,Casa,142,440.000,3 ,2 
653,Chalet,244,398.000,4 ,3 
654,Casa,244,398.000,4 ,2 
655,CASA,142,440.000,0,0
656,Casa,200,219.995,4 ,3 
657,Dúplex,100,269.900,2 ,1 
658,Casa,140,415.000,3 ,3 
659,Casa,153,239.000,3 ,1 
660,Piso,294,262.000,4 ,2 
661,Chalet,488,449.000,7 ,4 
662,Piso,128,319.000,4 ,2 
663,Piso,85,203.000,2 ,1 
664,Casa,257,88.731,1 ,1 
665,Casa,301,459.900,4 ,3 
666,Casa,201,180.000,0,0
667,Casa,201,180.000,0,0
668,Casa,205,355.900,3 ,3 
669,Casa,344,203.000,0,0
670,Chalet,380,319.000,6 ,3 
671,BAJOS,,,0,0
672,Casa,312,495.000,5 ,4 
673,Casa,142,349.000,3 ,3 
674,Piso,240,203.000,4 ,1 
675,Casa,125,349.000,5 ,2 
676,Casa,317,211.200,5 ,1 
677,Piso,86,187.300,3 ,2 
678,Masía,770,850.000,6 ,3 
679,Dúplex,243,275.000,4 ,2 
680,Casa,119,309.000,3 ,2 
681,Casa,85,149.000,0,0
682,Casa,122,190.000,4 ,1 
683,Piso,100,117.000,3 ,1 
684,Chalet,357,421.000,4 ,2 
685,Casa,285,375.000,3 ,2 
686,Casa,166,148.000,1 ,1 
687,ARBREDA,100,297.000,0,0
688,Casa,370,415.000,4 ,2 
689,Casa,142,440.000,3 ,2 
690,Casa,355,460.000,6 ,2 
691,Casa,858,739.000,4 ,4 
692,Casa,285,319.000,3 ,3 
693,Ático,96,252.000,3 ,2 
694,Piso,136,213.000,3 ,2 
695,Piso,118,239.000,3 ,1 
696,Casa,89,300.000,3 ,2 
697,Casa,150,280.000,3 ,1 
698,Casa,250,165.000,4 ,3 
699,Casa,116,1.971.000,6 ,9 
700,Chalet,266,476.000,4 ,3 
701,Piso,110,179.000,1 ,1 
702,Piso,84,155.700,3 ,1 
703,CASA,142,440.000,0,0
704,Estudio,120,179.000,0,1 
705,Chalet,183,315.000,4 ,2 
706,Piso,85,223.000,3 ,1 
707,Casa,197,209.000,3 ,1 
708,Casa,301,445.000,4 ,3 
709,Casa,200,390.000,4 ,4 
710,Casa,132,209.000,0,0
711,Piso,80,131.000,3 ,1 
712,Casa,202,160.000,4 ,3 
713,Piso,60,130.000,1 ,1 
714,Casa,287,282.000,0,0
715,Casa,370,330.000,7 ,6 
716,Casa,142,440.000,3 ,3 
717,Casa,370,415.000,4 ,2 
718,Chalet,317,598.000,7 ,4 
719,BAJOS,,,0,0
720,Chalet,317,598.000,7 ,4 
721,Chalet,317,598.000,7 ,4 
722,Chalet,317,598.000,7 ,4 
723,Chalet,317,598.000,7 ,4 
724,Chalet,317,598.000,7 ,4 
725,Chalet,317,598.000,7 ,4 
726,Piso,79,175.000,3 ,1 
727,Dúplex,198,300.000,0,0
728,Planta,75,249.900,2 ,1 
729,Piso,70,249.000,3 ,2 
730,Chalet,,398.000,0,0
731,Casa,830,390.000,4 ,3 
732,Piso,180,360.000,4 ,4 
733,Casa,115,209.000,3 ,1 
